gross,name
1932642,Erik the Viking
870532,Parents
117463,The Big Picture
10647219,The Package
9114702,Tap
151203,"I, Madman"
4611062,The January Man
19131246,Blaze
4973285,Let It Ride
2049769,Jacknife
3531971,In Country
4609953,Longtime Companion
18699037,Her Alibi
3077361,Cannonball Fever
283694,Kill Me Again
792966,The Toxic Avenger Part II
6291444,The Gods Must Be Crazy II
43749,Wicked Stepmother
6263883,Music Box
3473905,The Lemon Sisters
18587135,Prancer
169203,The Experts
4347648,Lisa
1519796,Stepfather II
8742750,True Believer
3416846,Kinjite: Forbidden Subjects
510712,The Tall Guy
1097333,Heart of Dixie
8125592,Dead Bang
938065,Sweetie
546541,The Unbelievable Truth
11604598,Gross Anatomy
902152,American Ninja 3: Blood Hunt
418053,How to Get Ahead in Advertising
444055,The Rainbow
363561,The Toxic Avenger Part III: The Last Temptation of Toxie
4299023,Listen to Me
2023282,Winter People
7754571,Enemies: A Love Story
1960,Violent Cop
2260616,Sing
1601612,Jesus of Montreal
3574256,Old Gringo
2420917,Farewell to the King
9015164,Renegades
67878,Brenda Starr
3690400,Worth Winning
4348025,Staying Together
1247946,Lost Angels
154264,84C MoPic
2156471,Scenes from the Class Struggle in Beverly Hills
858591,The Terror Within
1316495,Romero
6985999,Relentless
201468,The Rachel Papers
5932613,Immediate Family
682016,My Twentieth Century
7723506,Disorganized Crime
1089000,Wired
408839,Triumph of the Spirit
1417030,Monsieur Hire
3169719,Rude Awakening
259486,Chattahoochee
1642239,How I Got Into College
5368865,Second Sight
535031,River of Death
646890,Miss Firecracker
4795000,See You in the Morning
3560932,Physical Evidence
1869417,Cookie
43671,Bloodhounds of Broadway
283747,Powwow Highway
1354268,True Love
8153677,Cheetah
495063,"Mama, There's a Man in Your Bed"
289975,Cold Feet
102219,Edge of Sanity
472340,Fast Food
960385,Getting It Right
2043889,Rooftops
294266,Out Cold
333811,Dark Obsession
197343,Mortal Passions
463972,Slaves of New York
166635,Night Visitor
216373,A Chorus of Disapproval
618178,Cage
1770082,Bloodfist
337812,Night Game
1877618,Breaking In
764794,Strapless
428758,Life and Nothing But
1776440,Too Beautiful for You
574080,Rosalie Goes Shopping
111747,Torrents of Spring
491193,How to Make Love to a Negro Without Getting Tired
221163,Fist Fighter
1029822,Welcome Home
235011,Chameleon Street
1236844,Queen of Hearts
95836,Signs of Life
862551,Crack House
129778,Martians Go Home
161323,Bye Bye Blues
3400000,Cruising Bar
75868,"Bert Rigby, You're a Fool"
192561,Beverly Hills Brats
61490000,Flatliners
46836394,Goodfellas
4960385,The Handmaid's Tale
61276872,Misery
119394840,El vengador del futuro
178406268,Pretty Woman
285761243,Home Alone
56362352,Edward Scissorhands
66666062,The Godfather: Part III
184208848,Dances with Wolves
122012643,The Hunt for Red October
28501605,Child's Play 2
217631306,Ghost
16667084,Tremors
39404261,Joe Versus the Volcano
14560247,Wild at Heart
10360553,The Witches
26118851,Jacob's Ladder
135265915,Teenage Mutant Ninja Turtles
53208180,Arachnophobia
117540947,Die Hard 2
103738726,Dick Tracy
52096475,Awakenings
13985225,Lord of the Flies
53470900,Problem Child
82670733,Days of Thunder
8266343,Cry-Baby
87727583,Back to the Future Part III
40946358,Rocky V
91457688,Kindergarten Cop
30669413,Predator 2
17373527,The NeverEnding Story II: The Next Chapter
45681173,RoboCop 2
5080409,Miller's Crossing
5765562,Leatherface: Texas Chainsaw Massacre III
21413502,The Adventures of Ford Fairlane
5017971,La Femme Nikita
33878502,Darkman
86303188,Presumed Innocent
41482207,Gremlins 2: The New Batch
8862354,Nightbreed
35419397,Mermaids
5835247,Night of the Living Dead
16324573,Tales from the Darkside: The Movie
1911542,State of Grace
24078196,Lionheart
15650000,Revenge
47489074,Look Who's Talking Too
47410000,Hard to Kill
2060847,The Krays
26098824,The Exorcist III
1293976,The Hot Spot
11567449,Henry & June
11582891,Graveyard Shift
2554476,El verdugo de Nueva York
27931461,The Rescuers Down Under
44143410,Young Guns II
26386000,House Party
20710451,Hamlet
11541758,Pump Up the Volume
2459895,Class of 1999
46044400,Marked for Death
31053601,Air America
21633874,The Rookie
27734391,Internal Affairs
739104,Rosencrantz & Guildenstern Are Dead
25069101,Navy Seals
21413105,Quigley Down Under
29381956,Pacific Heights
15691192,The Bonfire of the Vanities
6939946,Almost an Angel
1963207,Dreams
5728953,Hardware
18115724,DuckTales the Movie: Treasure of the Lost Lamp
17487531,White Palace
27441977,Memphis Belle
4348368,Dark Angel
9888167,Miami Blues
70980000,Bird on a Wire
1244381,The Comfort of Strangers
2742912,Desperate Hours
80818974,Another 48 Hrs.
16247964,Men at Work
71609321,3 Men and a Little Lady
37963281,Postcards from the Edge
15260154,Quick Change
23591472,My Blue Heaven
21460601,The Freshman
13446769,The Grifters
10005969,The Two Jakes
16853487,Death Warrant
15140007,Cyrano de Bergerac
15445131,Reversal of Fortune
16186793,I Love You to Death
205068,Frankenhooker
