,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
2835,0,Engine Film,Hirokazu Koreeda,Drama,801985,After life,Not specified,4/17/99,100,7.7,Arata Iura,7680,Hirokazu Koreeda
2836,0,Mindfire Entertainment,Robert Meyer Burnett,Comedy,30229,Free enterprise,R,6/4/99,113,7.0,Rafer Weigel,2954,Mark A. Altman
2837,20000000,Regency Enterprises,Roland JoffÈ,Comedy,1923061,Goodbye lover,R,4/16/99,102,5.7,Patricia Arquette,3012,Ron Peer
2838,0,Miramax,Michael Radford,Crime,34524,B. monkey,R,7/15/99,92,6.0,Asia Argento,3044,Andrew Davies
2839,0,Intermedia Films,David Leland,Drama,146083,The land girls,R,6/12/98,111,6.3,Catherine McCormack,1680,Angela Huth
2840,1000000,Andell Entertainment,John Hamburg,Comedy,21210,Safe men,R,8/7/98,88,6.0,Sam Rockwell,2851,John Hamburg
2841,0,Dreyfuss / James Productions,Todd Holland,Comedy,7514883,Krippendorf's tribe,PG-13,2/27/98,94,4.9,Richard Dreyfuss,4748,Frank Parkin
2842,15000000,Baltimore Pictures,Dean Parisot,Comedy,10443316,Home fries,PG-13,11/25/98,91,5.0,Drew Barrymore,7388,Vince Gilligan
2843,24000000,DIC Entertainment,Steve Boyum,Comedy,4308981,Meet the deedles,PG,3/27/98,93,3.9,Paul Walker,2385,Jim Herzfeld
2844,13000000,Gotham Entertainment Group,Daisy von Scherler Mayer,Comedy,8026971,Woo,R,5/8/98,84,3.9,Jada Pinkett Smith,1586,David C. Johnson
2845,0,CLT,Maria Ripoll,Comedy,258464,Twice upon a yesterday,R,6/25/99,91,6.4,Lena Headey,2134,Rafa Russo
2846,2000000,HSX Films,Lance Mungia,Action,124494,Six-string samurai,PG-13,9/18/98,91,6.7,Jeffrey Falcon,5956,Jeffrey Falcon
2847,0,Dimension Films,Millicent Shelton,Comedy,5476059,Ride,R,3/27/98,90,4.5,Melissa De Sousa,606,Millicent Shelton
2848,0,Goodtimes Entertainment,William R. Kowalchuk Jr.,Animation,113484,Rudolph the red-nosed reindeer,G,10/16/98,100,5.8,John Goodman,1851,Robert May
2849,0,Good Machine,Joan Chen,Drama,1000000,Xiu xiu: the sent-down girl,R,11/16/00,99,7.5,Xiaolu Li,2816,Joan Chen
2850,0,De Fina-Cappa,Stephen Frears,Drama,163810,The hi-lo country,R,1/22/99,114,6.1,Billy Crudup,3807,Max Evans
2851,0,Goldwyn Films,Po-Chih Leong,Crime,21404,Immortality,R,5/1/00,98,6.3,Jude Law,5180,Paul Hoffman
2852,0,Alta Films,Ken Loach,Drama,346696,My name is joe,R,1/22/99,105,7.5,Peter Mullan,6574,Paul Laverty
2853,3500000,Artisan Entertainment,Neil Abramson,Comedy,9247881,Ringmaster,R,11/25/98,90,3.2,Jerry Springer,4578,Jon Bernstein
2854,0,"Bubble Factory, The",Barnet Kellman,Comedy,34488,Slappy and the stinkers,PG,1/23/98,78,5.0,BD Wong,898,Robert Wolterstorff
2855,0,Belfilms,Radu Mihaileanu,Comedy,154790,Train of life,R,4/20/01,103,7.7,Lionel Abelanski,7735,Radu Mihaileanu
2856,10000000,Initial Entertainment Group (IEG),Predrag Antonijevic,Drama,12903,Savior,R,11/20/98,103,7.3,Dennis Quaid,9097,Robert Orr
2857,800000,38 Productions,Ziad Doueiri,Comedy,343229,West beirut,PG-13,10/30/98,105,7.8,Rami Doueiri,2545,Ziad Doueiri
2858,0,BÛrd Scann·n na h…ireann,Pat O'Connor,Drama,2285194,Dancing at lughnasa,PG,11/13/98,95,6.3,Meryl Streep,3045,Brian Friel
2859,0,Cracking the Earth Films Inc.,Deepa Mehta,Drama,528972,Earth,UNRATED,7/7/99,110,7.8,Aamir Khan,6310,Deepa Mehta
2860,63000000,Fox 2000 Pictures,David Fincher,Drama,37030102,Fight club,R,10/15/99,139,8.8,Brad Pitt,1492073,Chuck Palahniuk
2861,15000000,DreamWorks,Sam Mendes,Drama,130096601,American beauty,R,10/1/99,122,8.4,Kevin Spacey,899755,Alan Ball
2862,63000000,Warner Bros.,Lana Wachowski,Action,171479930,The matrix,R,3/31/99,136,8.7,Keanu Reeves,1339820,Lilly Wachowski
2863,60000000,Castle Rock Entertainment,Frank Darabont,Crime,136801374,The green mile,R,12/10/99,189,8.5,Tom Hanks,879924,Stephen King
2864,11000000,Universal Pictures,Paul Weitz,Comedy,102561004,American pie,R,7/9/99,95,7.0,Jason Biggs,332271,Adam Herz
2865,65000000,Warner Bros.,Stanley Kubrick,Drama,55691208,Eyes wide shut,R,7/16/99,159,7.3,Tom Cruise,246014,Stanley Kubrick
2866,80000000,Universal Pictures,Stephen Sommers,Action,155247825,The mummy,PG-13,5/7/99,124,7.0,Brendan Fraser,340714,Stephen Sommers
2867,40000000,Hollywood Pictures,M. Night Shyamalan,Drama,293506292,The sixth sense,PG-13,8/6/99,107,8.1,Bruce Willis,766528,M. Night Shyamalan
2868,30000000,Touchstone Pictures,Gil Junger,Comedy,38176108,10 things i hate about you,PG-13,3/31/99,97,7.2,Heath Ledger,244103,Karen McCullah
2869,100000000,Paramount Pictures,Tim Burton,Fantasy,101071502,Sleepy hollow,R,11/19/99,105,7.4,Johnny Depp,284929,Washington Irving
2870,115000000,Lucasfilm,George Lucas,Action,474544677,Star wars: episode i - the phantom menace,PG,5/19/99,136,6.5,Ewan McGregor,584809,George Lucas
2871,60000000,Warner Bros.,Renny Harlin,Action,73648142,Deep blue sea,R,7/28/99,105,5.8,Thomas Jane,105864,Duncan Kennedy
2872,10000000,Twentieth Century Fox Film Corporation,Mike Judge,Comedy,10824921,Enredos de oficina,R,2/19/99,89,7.8,Ron Livingston,212640,Mike Judge
2873,6000000,American Zoetrope,Sofia Coppola,Drama,4859475,The virgin suicides,R,5/19/00,97,7.2,Kirsten Dunst,125166,Jeffrey Eugenides
2874,10500000,Columbia Pictures Corporation,Roger Kumble,Drama,38328567,Cruel intentions,R,3/5/99,97,6.8,Sarah Michelle Gellar,157466,Choderlos de Laclos
2875,45000000,DreamWorks,Dean Parisot,Adventure,71583916,Galaxy quest,PG,12/25/99,102,7.3,Tim Allen,130142,David Howard
2876,37000000,Ghoulardi Film Company,Paul Thomas Anderson,Drama,22455976,Magnolia,R,1/7/00,188,8.0,Tom Cruise,253771,Paul Thomas Anderson
2877,33000000,New Line Cinema,Jay Roach,Action,206040086,Austin powers: the spy who shagged me,PG-13,6/11/99,95,6.6,Mike Myers,191205,Mike Myers
2878,25000000,Fox 2000 Pictures,Raja Gosnell,Comedy,55474756,Never been kissed,PG-13,4/9/99,107,6.0,Drew Barrymore,72371,Abby Kohn
2879,7000000,Franchise Pictures,Troy Duffy,Action,25812,The boondock saints,R,11/19/99,108,7.9,Willem Dafoe,206785,Troy Duffy
2880,40000000,Columbia Pictures Corporation,James Mangold,Biography,28871190,"Girl, interrupted",R,1/14/00,127,7.4,Winona Ryder,135410,Susanna Kaysen
2881,90000000,Pixar Animation Studios,John Lasseter,Animation,245852179,Toy story 2,G,11/24/99,92,7.9,Tom Hanks,420432,John Lasseter
2882,40000000,Miramax,Anthony Minghella,Crime,81298265,The talented mr. ripley,R,12/25/99,139,7.3,Matt Damon,148622,Patricia Highsmith
2883,170000000,Peters Entertainment,Barry Sonnenfeld,Action,113805681,Wild wild west,PG-13,6/30/99,106,4.8,Will Smith,136482,Jim Thomas
2884,42000000,Polygram Filmed Entertainment,Roger Michell,Comedy,116089678,Notting hill,PG-13,5/28/99,124,7.1,Hugh Grant,220588,Richard Curtis
2885,60000,Haxan Films,Daniel Myrick,Horror,140539099,The blair witch project,R,7/30/99,81,6.4,Heather Donahue,202691,Daniel Myrick
2886,13000000,Astralwerks,Spike Jonze,Comedy,22858926,Being john malkovich,R,12/3/99,112,7.8,John Cusack,270071,Charlie Kaufman
2887,34200000,Jack Giarraputo Productions,Dennis Dugan,Comedy,163479795,Big daddy,PG-13,6/25/99,93,6.4,Adam Sandler,171997,Steve Franks
